iter	RMSE
253	31808.31752
254	31784.19953
255	31671.55244
256	31636.5752
257	31607.66291
258	31554.04804
259	31512.91073
260	31490.32993
261	31466.05275
262	31441.18341
263	31423.88356
264	31351.43468
265	31333.41186
266	31282.024
267	31233.01161
268	31172.95906
269	31141.50601
270	31130.3535
271	31111.42228
272	31096.9017
273	31042.5607
274	31032.4587
275	30979.04018
276	30971.5837
277	30958.68069
278	30888.07923
279	30844.46943
280	30841.1469
281	30791.39262
282	30776.67747
283	30771.27119
284	30718.34055
285	30696.79526
286	30682.43511
287	30647.526
288	30632.38195
289	30612.49959
290	30576.44231
291	30560.39336
292	30545.87049
293	30521.83244
294	30512.77099
295	30429.56366
296	30425.14139
297	30379.28463
298	30353.4502
299	30344.11593
300	30313.95572
301	30283.56119
302	30271.16658
303	30212.08523
304	30170.34683
305	30151.95789
306	30141.55134
307	30128.2789
308	30115.40235
309	30097.20588
310	30081.23098
311	30020.44609
312	30000.68235
313	29977.59788
314	29965.33412
315	29944.92514
316	29925.86159
317	29919.69709
318	29883.35448
319	29826.54567
320	29786.9185
321	29778.53347
322	29752.77591
323	29706.2705
324	29670.69304
325	29623.28835
326	29589.58898
327	29571.95476
328	29550.70234
329	29545.35047
330	29536.56899
331	29517.44292
332	29491.19311
333	29477.76461
334	29464.25214
335	29457.34036
336	29395.3868
337	29360.81172
338	29352.06521
339	29321.18531
340	29303.37509
341	29260.50366
342	29219.31067
343	29200.9978
344	29172.72639
345	29154.95091
346	29127.04847
347	29100.44636
348	29083.68027
349	29048.16052
350	29014.14642
351	28970.59006
352	28939.09332
353	28934.8052
354	28907.07709
355	28893.78056
356	28883.00871
357	28854.96392
358	28833.81352
359	28803.50031
360	28783.79324
361	28763.46236
362	28740.24004
363	28707.42904
364	28685.86478
365	28647.41231
366	28639.76945
367	28604.05847
368	28600.96306
369	28576.25336
370	28564.06552
371	28532.35165
372	28509.61477
373	28478.79568
374	28467.72109
375	28460.05368
376	28440.53599
377	28420.09788
378	28403.78834
379	28390.73355
380	28376.30272
381	28361.71917
382	28350.16293
383	28320.50624
384	28301.73167
385	28287.9202
386	28276.23328
387	28263.49961
388	28245.16913
389	28232.07585
390	28208.1029
391	28186.58214
392	28088.60763
393	28057.83236
394	28040.07751
395	28006.83799
396	27983.53373
397	27962.0964
398	27952.55951
399	27922.84853
400	27911.25895
401	27904.41071
402	27877.42238
403	27856.06746
404	27838.39388
405	27818.5659
406	27799.66308
407	27781.48951
408	27733.2876
409	27688.64549
410	27675.52299
411	27661.26879
412	27648.79595
413	27641.4852
414	27604.70975
415	27575.88217
416	27550.31814
417	27468.64266
418	27429.87159
419	27424.48636
420	27419.42191
421	27402.33952
422	27378.74132
423	27362.80224
424	27337.88907
425	27314.00592
426	27297.45922
427	27286.35094
428	27262.17255
429	27250.42589
430	27220.14584
431	27185.66523
432	27180.69182
433	27158.05707
434	27141.4792
435	27105.29225
436	27099.88743
437	27088.46755
438	27079.61106
439	27073.43027
440	27048.83173
441	27016.43651
442	26994.57125
443	26979.70255
444	26957.32278
445	26943.72585
446	26931.15038
447	26909.81101
448	26901.85436
449	26877.22089
450	26860.51838
451	26840.21128
452	26837.33031
453	26804.86355
454	26801.60045
455	26772.84664
456	26747.59443
457	26728.90633
458	26706.39184
459	26681.4167
460	26673.57192
461	26640.80517
462	26624.32024
463	26594.46232
464	26579.0281
465	26565.35271
466	26549.07974
467	26503.34814
468	26450.88566
469	26438.99812
470	26430.09989
471	26394.44331
472	26389.20542
473	26366.62057
474	26358.91945
475	26345.48986
476	26325.03271
477	26286.64097
478	26276.04215
479	26264.56762
480	26261.46286
481	26220.11383
482	26186.00375
483	26171.09952
484	26141.62709
485	26134.4772
486	26108.63266
487	26083.06684
488	26067.4908
489	26044.26786
490	26034.79527
491	25983.86796
492	25945.62444
493	25936.58461
494	25929.58547
495	25925.70596
496	25915.72059
497	25909.94561
498	25882.23734
499	25797.67412
500	25784.14639
501	25757.6086
502	25715.63225
503	25701.17063
504	25690.69208
505	25685.62877
506	25671.77705
507	25652.18757
508	25632.51385
509	25607.60304
510	25586.06537
511	25579.96303
512	25546.98866
513	25517.98244
514	25497.86498
515	25495.73284
516	25485.10743
517	25481.79209
518	25443.81023
519	25430.679
520	25417.05268
521	25407.20338
522	25368.59798
523	25345.65966
524	25342.07898
525	25328.74814
526	25316.29902
527	25310.07985
528	25288.81027
529	25277.07076
530	25259.87792
531	25248.75479
532	25193.61625
533	25187.23502
534	25168.33951
535	25155.33139
536	25107.43078
537	25090.33632
538	25078.46002
539	25058.44162
540	25015.04886
541	25001.15341
542	24987.61254
543	24945.61021
544	24940.95547
545	24916.73343
546	24896.7328
547	24889.94488
548	24863.40455
549	24847.7317
550	24839.44323
551	24815.50563
552	24790.35406
553	24780.11008
554	24773.23433
555	24760.19366
556	24746.95465
557	24736.01486
558	24712.40027
559	24708.92494
560	24699.48359
561	24679.91733
562	24676.04997
563	24661.08942
564	24647.19513
565	24642.49344
566	24634.84684
567	24622.47152
568	24610.95421
569	24593.37564
570	24590.45765
571	24581.18715
572	24559.95142
573	24548.50516
574	24545.96942
575	24533.7453
576	24528.33749
577	24518.02318
578	24496.84711
579	24486.28255
580	24477.08845
581	24450.5261
582	24421.31421
583	24414.42129
584	24389.18687
585	24359.83003
586	24333.57248
587	24325.21218
588	24322.07179
589	24301.63644
590	24292.61748
591	24286.08229
592	24280.84534
593	24273.07751
594	24252.62087
595	24244.69217
596	24222.89813
597	24209.7017
598	24190.40125
599	24151.73879
600	24146.96443
601	24132.27335
602	24113.8635
603	24104.50802
604	24083.30581
605	24074.35265
606	24070.3341
607	24053.17472
608	24045.23799
609	24023.69385
610	24006.40198
611	24001.35193
612	23978.52543
613	23965.80963
614	23958.17577
615	23948.67123
616	23922.00355
617	23905.57409
618	23890.83794
619	23884.0106
620	23870.22788
621	23808.30253
622	23801.87378
623	23794.64485
624	23785.5263
625	23778.99768
626	23750.78047
627	23743.97191
628	23734.70448
629	23730.88391
630	23714.94112
631	23695.22279
632	23680.4875
633	23670.71605
634	23657.6755
635	23640.91201
636	23623.91661
637	23610.14976
638	23581.01999
639	23562.37067
640	23556.58367
641	23551.5827
642	23541.82715
643	23538.8259
644	23531.19526
645	23522.73992
646	23510.11885
647	23485.25398
648	23466.2415
649	23457.97023
650	23430.9942
651	23421.36618
652	23411.0947
653	23402.40534
654	23389.70916
655	23382.41308
656	23373.61439
657	23358.32622
658	23354.51551
659	23323.56572
660	23275.44511
661	23259.2532
662	23252.84706
663	23217.1421
664	23196.86145
665	23188.18804
666	23180.11188
667	23172.86331
668	23162.65897
669	23159.16218
670	23135.62658
671	23107.96049
672	23100.23812
673	23086.11868
674	23074.02521
675	23067.10029
676	23059.61473
677	23038.61978
678	23022.12953
679	23021.09671
680	23013.34213
681	23001.43902
682	22995.46691
683	22976.22571
684	22947.39161
685	22938.6229
686	22931.55069
687	22928.50045
688	22924.11978
689	22910.65396
690	22895.68108
691	22880.66562
692	22859.90822
693	22848.80541
694	22829.24651
695	22814.54118
696	22806.84972
697	22781.86054
698	22723.56641
699	22708.23943
700	22694.98368
701	22690.04173
702	22681.35484
703	22675.91385
704	22673.53014
705	22659.14956
706	22647.39597
707	22638.82151
708	22628.84512
709	22618.00723
710	22612.40302
711	22598.33635
712	22581.02058
713	22574.21976
714	22565.18331
715	22553.41139
716	22544.73454
717	22515.97363
718	22504.15486
719	22497.00971
720	22488.13608
721	22471.05662
722	22459.56743
723	22443.99207
724	22437.40302
725	22434.81694
726	22427.29861
727	22421.19143
728	22399.21635
729	22389.39331
730	22379.21903
731	22371.7925
732	22367.73155
733	22363.68246
734	22357.08293
735	22349.28344
736	22344.63331
737	22328.04512
738	22300.8196
739	22275.83367
740	22259.759
741	22253.03967
742	22236.26934
743	22229.15992
744	22195.90165
745	22185.56203
746	22173.58512
747	22167.4038
748	22153.38855
749	22146.80689
750	22135.85235
751	22125.53439
752	22122.16909
753	22109.94376
754	22102.19031
755	22100.36797
756	22096.37701
757	22092.69332
758	22082.98097
759	22073.68254
760	22017.59532
761	22005.95948
762	21995.82995
763	21991.98534
764	21976.87992
765	21968.38514
766	21966.54783
767	21957.86253
768	21952.42965
769	21950.14162
770	21939.4473
771	21936.44488
772	21925.17951
773	21914.62983
774	21906.78949
775	21884.97286
776	21876.03871
777	21869.96076
778	21765.88031
779	21759.59239
780	21747.94223
781	21731.25455
782	21726.65819
783	21718.04412
784	21668.44251
785	21661.04152
786	21648.17501
787	21632.34293
788	21630.3429
789	21616.24029
790	21613.18004
791	21570.05887
792	21567.04184
793	21565.68163
794	21551.43586
795	21542.4132
796	21537.31435
797	21530.77107
798	21515.66751
799	21502.62117
800	21496.63238
801	21413.07189
802	21397.73358
803	21385.56667
804	21364.47396
805	21359.14694
806	21353.44744
807	21349.11577
808	21341.67762
809	21333.09326
