iter	Passed	Remaining
399	118310	121268
400	118628	120995
401	118887	120662
402	119138	120321
403	119503	120095
404	119844	119844
405	121519	120921
406	121918	120720
407	122283	120484
408	122653	120254
409	122987	119987
410	123227	119629
411	123449	119254
412	123928	119126
413	124240	118838
414	124619	118613
415	124927	118320
416	125245	118036
417	125476	117672
418	126345	117902
419	126907	117842
420	127238	117567
421	127508	117235
422	128102	117199
423	128554	117033
424	129034	116890
425	129437	116676
426	129857	116475
427	130442	116422
428	130791	116157
429	131110	115864
430	131394	115541
431	131876	115392
432	132731	115565
433	133923	116026
434	134660	116086
435	135164	115944
436	135500	115656
437	135899	115421
438	136253	115147
439	136677	114933
440	137576	115115
441	137936	114843
442	138301	114574
443	138584	114238
444	138903	113932
445	139230	113632
446	139648	113405
447	141322	114193
448	142393	114485
449	142809	114247
450	143362	114117
451	143691	113808
452	144000	113483
453	144365	113202
454	144740	112929
455	145028	112587
456	145411	112320
457	146086	112276
458	146352	111916
459	146590	111535
460	146856	111177
461	147121	110818
462	147745	110729
463	148157	110479
464	149445	110878
465	149890	110649
466	150245	110351
467	150705	110130
468	151574	110206
469	151946	109918
470	152206	109550
471	152738	109376
472	154159	109834
473	154548	109553
474	155004	109319
475	155478	109095
476	155792	108760
477	156062	108395
478	156369	108055
479	156643	107692
480	156975	107370
481	157251	107009
482	157566	106675
483	158066	106466
484	158386	106135
485	158663	105775
486	158963	105431
487	159221	105060
488	159588	104760
489	159903	104426
490	160165	104058
491	160457	103710
492	160834	103417
493	161561	103347
494	162145	103183
495	162404	102812
496	162658	102438
497	162894	102054
498	163152	101684
499	163503	101372
500	163755	100998
501	164098	100681
502	164415	100349
503	164729	100014
504	165290	99828
505	165630	99509
506	165952	99178
507	166198	98802
508	166456	98435
509	166792	98113
510	167083	97764
511	167391	97427
512	167695	97086
513	168036	96768
514	168408	96466
515	168832	96195
516	169583	96108
517	169947	95800
518	170223	95443
519	170653	95172
520	171144	94934
521	171432	94583
522	171730	94238
523	172186	93979
524	172682	93742
525	173031	93423
526	173281	93052
527	173561	92697
528	173859	92352
529	174120	91988
530	174354	91610
531	174613	91245
532	174915	90903
533	175190	90547
534	175504	90212
535	175805	89870
536	176113	89532
537	176435	89201
538	176849	88917
539	177156	88578
540	177420	88218
541	177735	87883
542	178051	87550
543	178396	87230
544	178811	86945
545	179167	86630
546	179412	86262
547	179681	85906
548	179967	85558
549	180273	85220
550	180553	84869
551	180912	84556
552	181268	84242
553	181552	83894
554	181835	83546
555	182430	83340
556	183294	83255
557	183961	83079
558	184255	82733
559	184545	82386
560	184809	82027
561	185073	81669
562	185450	81360
563	185694	80994
564	185987	80649
565	186250	80291
566	186484	79921
567	186793	79584
568	187057	79228
569	187280	78854
570	187566	78508
571	187831	78153
572	188183	77835
573	188425	77471
574	188693	77118
575	188941	76757
576	189201	76401
577	189431	76034
578	189700	75683
579	189941	75321
580	190221	74975
581	190496	74627
582	190762	74276
583	191002	73915
584	191239	73553
585	191498	73200
586	191731	72838
587	191944	72468
588	192193	72113
589	192419	71749
590	192678	71398
591	192939	71048
592	193161	70684
593	193402	70328
594	193651	69975
595	193899	69621
596	194129	69262
597	194400	68917
598	194654	68567
599	194905	68216
600	195194	67879
601	195501	67548
602	195803	67215
603	196053	66865
604	196312	66519
605	196538	66161
606	196818	65822
607	197045	65465
608	197313	65123
609	197554	64771
610	197839	64435
611	198058	64077
612	198311	63731
613	198590	63393
614	198879	63059
615	199144	62717
616	199408	62375
617	199670	62033
618	199945	61695
619	200255	61368
620	200570	61043
621	200828	60700
622	201418	60458
623	201801	60152
624	202104	59822
625	202360	59479
626	202638	59143
627	203065	58850
628	203975	58695
629	204306	58373
630	204597	58039
631	204909	57711
632	205638	57500
633	206243	57253
634	206682	56959
635	206993	56630
636	207402	56327
637	207703	55995
638	208052	55676
639	208310	55332
640	208636	55007
641	208942	54676
642	209254	54347
643	209553	54015
644	209862	53685
645	210208	53365
646	210504	53032
647	210816	52704
648	211103	52369
649	211412	52039
650	211681	51701
651	212153	51411
652	212442	51077
653	212719	50740
654	213011	50407
655	213340	50082
656	213679	49760
657	213927	49417
658	214221	49085
659	214468	48742
660	214745	48407
661	215142	48098
662	215789	47844
663	216473	47598
664	216836	47280
665	217260	46975
666	217581	46647
667	217900	46320
668	218425	46035
669	218845	45728
670	219259	45420
671	219594	45095
672	220045	44793
673	221141	44621
674	221726	44345
675	222190	44043
676	222557	43722
677	222864	43389
678	223202	43062
679	223401	42709
680	223660	42367
681	223934	42028
682	224233	41694
683	224497	41354
684	224781	41018
685	225064	40682
686	225318	40340
687	225586	40002
688	225900	39671
689	226185	39336
690	226418	38992
691	226675	38652
692	227152	38350
693	227644	38050
694	228099	37743
695	228417	37413
696	228685	37075
697	228946	36736
698	229189	36394
699	229434	36053
700	229661	35710
701	229894	35368
702	230142	35028
703	230381	34688
704	230647	34351
705	231006	34029
706	231290	33695
707	231564	33360
708	231799	33020
709	232082	32687
710	232352	32352
711	232600	32015
712	232876	31681
713	233118	31343
714	233417	31013
715	233679	30678
716	233953	30345
717	234192	30007
718	234428	29670
719	234653	29331
720	234896	28995
721	235168	28663
